WILDLIFE_TYPE,SPECIES,ISSUE,ACTION,CREATED_DATE,DIVISION
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/09/27,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/27,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/26,DENMAN PROSPECT
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/26,LYNEHAM
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/27,YARRALUMLA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/27,AINSLIE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/25,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/25,BONYTHON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/09/26,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/26,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/24,WESTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/24,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/09/25,GUNGAHLIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/25,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/29,GREENWAY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/29,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/30,ISAACS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/09/30,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/09/28,RURAL
MACROPOD,EASTERN GREY KANGAROO,TRAPPED,EUTHANASED,2016/09/28,MAWSON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/28,ARANDA
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/29,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/27,PARKES
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/27,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/28,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/28,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/09/27,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/09/27,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/27,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/27,MOLONGLO
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/19,GORDON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/19,CALWELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/19,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/19,KALEEN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/18,FISHER
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/18,GARRAN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/18,CALWELL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/18,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/17,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/17,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/18,CHIFLEY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/09/18,THEODORE
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/17,WANNIASSA
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/17,FADDEN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/17,LAWSON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/17,AMAROO
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/23,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/23,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/09/24,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/24,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/21,GARRAN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/09/21,NARRABUNDAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/22,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/22,CALWELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/19,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/20,CURTIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/09/21,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/21,KINGSTON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/19,GORDON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/19,DUFFY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/19,HUME
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/19,ARANDA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/11,GREENWAY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/11,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/10/11,GARRAN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/10,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ATTENDED BUT NOT LOCATED,2016/10/10,MCKELLAR
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,CARCASS REMOVED,2016/10/10,RED HILL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/10/10,O'MALLEY
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/09,FYSHWICK
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/09,LYNEHAM
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/09,HUME
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/09,ACTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/09,RURAL
MACROPOD,RED NECKED WALLABY,DEAD,CARCASS REMOVED,2016/10/09,AINSLIE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/09,SYMONSTON
MACROPOD,WALLAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/10/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/13,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/13,CAPITAL HILL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/13,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/12,ACTON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/12,BELCONNEN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/12,GIRALANG
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,CARCASS REMOVED,2016/10/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/11,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/12,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/12,GRIFFITH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/04,THEODORE
MACROPOD,EASTERN GREY KANGAROO,TRAPPED,CAPTURED & RELEASED,2016/10/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/04,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/05,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/03,BRUCE
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/03,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/03,GREENWAY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/03,CURTIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/01,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/01,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/01,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/02,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/30,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/01,FARRER
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,CARCASS REMOVED,2016/10/01,BELCONNEN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/01,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,ANIMAL DEAD ON ARRIVAL,2016/10/08,DENMAN PROSPECT
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,CAPTURED & RELEASED,2016/10/09,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,NO ACTION REQUIRED,2016/10/09,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/09,COOMBS
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/08,YARRALUMLA
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/08,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,CARCASS REMOVED,2016/10/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/07,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/07,WESTON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/05,RICHARDSON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/05,SYMONSTON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/10/06,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/10/06,HIGGINS
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/03,DEAKIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/03,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/04,KAMBAH
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/04,ACTON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/02,RURAL
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/03,WATSON
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/03,CURTIN
MACROPOD,EASTERN GREY KANGAROO,INJURED/SICK,EUTHANASED,2016/09/03,CALWELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/02,CHIFLEY
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/02,CURTIN
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/02,RURAL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/02,GORDON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/01,CALWELL
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/01,JACKA
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/01,LATHAM
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/02,GORDON
MACROPOD,EASTERN GREY KANGAROO,DEAD,CARCASS REMOVED,2016/09/05,CASEY
